Accession	STD Annot.	TargetP	
GRMZM2G025992_P05	Superoxide dismutase [Cu-Zn] 2  [Source:UniProtKB/Swiss-Prot%3BAcc:P11428]	_	
GRMZM2G025992_P06	Superoxide dismutase [Cu-Zn] 2  [Source:UniProtKB/Swiss-Prot%3BAcc:P11428]	_	
GRMZM2G030772_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UAX3]	S	
GRMZM2G039588_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B8A312]	_	
GRMZM2G039588_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B8A312]	_	
GRMZM2G039588_P03	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B8A312]	_	
GRMZM2G045809_P01	Germin-like protein subfamily 1 member 17%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FUT3]	S	
GRMZM2G049930_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7TPS9]	S	
GRMZM2G059991_P01	Superoxide dismutase [Mn] 3.1%2C mitochondrial  [Source:UniProtKB/Swiss-Prot%3BAcc:P09233]	M	
GRMZM2G061795_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7VF96]	_	
GRMZM2G065083_P01	Unknown protein	_	
GRMZM2G065088_P01	Unknown protein	S	
GRMZM2G071390_P01	Germin-like protein  [Source:UniProtKB/TrEMBL%3BAcc:K7TKV2]	S	
GRMZM2G072965_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7TWN5]	S	
GRMZM2G073371_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UE87]	_	
GRMZM2G075925_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UDN3]	S	
GRMZM2G081160_P01	Unknown protein	S	
GRMZM2G087111_P01	Germin-like protein subfamily 1 member 11  [Source:UniProtKB/TrEMBL%3BAcc:B6UEL1]	S	
GRMZM2G090245_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P9T7]	S	
GRMZM2G090245_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P9T7]	S	
GRMZM2G093121_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7U4C1]	_	
GRMZM2G093606_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7URE9]	S	
GRMZM2G093945_P01	Apospory-associated protein isoform 1%3B Apospory-associated protein isoform 2%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0PFN4]	C	
GRMZM2G093945_P02	Apospory-associated protein isoform 1%3B Apospory-associated protein isoform 2%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0PFN4]	C	
GRMZM2G094328_P01	Germin-like protein subfamily 1 member 11  [Source:UniProtKB/TrEMBL%3BAcc:B6TTY1]	S	
GRMZM2G096100_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FY73]	S	
GRMZM2G096100_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FY73]	S	
GRMZM2G096100_P03	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FY73]	S	
GRMZM2G103287_P01	Apospory-associated protein C%3B Apospory-associated protein C isoform 1%3B Apospory-associated protein C isoform 2%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B6T6S5]	C	
GRMZM2G103287_P02	Apospory-associated protein C%3B Apospory-associated protein C isoform 1%3B Apospory-associated protein C isoform 2%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B6T6S5]	C	
GRMZM2G103512_P01	Germin-like protein 1%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FAV5]	S	
GRMZM2G105940_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7TT10]	_	
GRMZM2G119578_P01	Apospory-associated protein%3B Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FB29]	_	
GRMZM2G142342_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UBE3]	S	
GRMZM2G144002_P01	Glucose-1-phosphate adenylyltransferase  [Source:UniProtKB/TrEMBL%3BAcc:A7LB43]	C	
GRMZM2G148014_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7URF1]	_	
GRMZM2G149714_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7U0Q4]	S	
GRMZM2G161097_P01	Rhicadhesin receptor  [Source:UniProtKB/TrEMBL%3BAcc:B6TWC3]	S	
GRMZM2G162078_P01	Unknown protein	M	
GRMZM2G162078_P02	Unknown protein	M	
GRMZM2G166141_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7TJE4]	S	
GRMZM2G178817_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UED2]	M	
GRMZM2G304840_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7V4A7]	_	
GRMZM2G316256_P01	Unknown protein	_	
GRMZM2G320307_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B8A028]	M	
GRMZM2G320307_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B8A028]	_	
GRMZM2G320307_P03	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B8A028]	_	
GRMZM2G332922_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7TKH1]	S	
GRMZM2G332922_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7TKH1]	S	
GRMZM2G363004_P01	Unknown protein	_	
GRMZM2G363004_P02	Unknown protein	_	
GRMZM2G386138_P01	Unknown protein	S	
GRMZM2G387127_P01	Unknown protein	S	
GRMZM2G390498_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7UMK4]	S	
GRMZM2G429899_P01	Glucose-1-phosphate adenylyltransferase large subunit 1%2C chloroplastic/amyloplastic  [Source:UniProtKB/Swiss-Prot%3BAcc:P55241]	_	
GRMZM2G429899_P02	Glucose-1-phosphate adenylyltransferase large subunit 1%2C chloroplastic/amyloplastic  [Source:UniProtKB/Swiss-Prot%3BAcc:P55241]	_	
GRMZM2G429899_P03	Glucose-1-phosphate adenylyltransferase large subunit 1%2C chloroplastic/amyloplastic  [Source:UniProtKB/Swiss-Prot%3BAcc:P55241]	_	
GRMZM2G479523_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7VJ20]	_	
GRMZM2G557799_P01	Unknown protein	M	
GRMZM5G806449_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FWU6]	_	
GRMZM5G806449_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FWU6]	_	
GRMZM5G806449_P03	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FWU6]	_	
GRMZM5G826194_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P7N1]	C	
GRMZM5G826194_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:C0P7N1]	C	
GRMZM5G855672_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FT31]	_	
GRMZM5G855672_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FT31]	_	
GRMZM5G864424_P01	Superoxide dismutase  [Source:UniProtKB/TrEMBL%3BAcc:B6T5J7]	C	
GRMZM5G891739_P01	Superoxide dismutase [Cu-Zn]  [Source:UniProtKB/TrEMBL%3BAcc:B6TAX5]	_	
GRMZM2G004824_P01	Putative threonine aldolase family protein  [Source:UniProtKB/TrEMBL%3BAcc:K7VFW7]	M	
GRMZM2G043887_P01	L-allo-threonine aldolase%3B Putative threonine aldolase family protein  [Source:UniProtKB/TrEMBL%3BAcc:B6TA00]	_	
GRMZM2G043887_P02	L-allo-threonine aldolase%3B Putative threonine aldolase family protein  [Source:UniProtKB/TrEMBL%3BAcc:B6TA00]	_	
GRMZM2G043887_P03	L-allo-threonine aldolase%3B Putative threonine aldolase family protein  [Source:UniProtKB/TrEMBL%3BAcc:B6TA00]	_	
GRMZM2G067974_P01	Unknown protein	M	
GRMZM2G067974_P02	Unknown protein	M	
GRMZM2G067974_P03	Unknown protein	M	
GRMZM2G107469_P01	Unknown protein	M	
GRMZM2G107469_P02	Unknown protein	M	
GRMZM2G113959_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7V2Z5]	_	
GRMZM2G118770_P01	Malic enzyme  [Source:UniProtKB/TrEMBL%3BAcc:K7VCQ4]	M	
GRMZM2G147256_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FR39]	_	
GRMZM2G147256_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FR39]	_	
GRMZM2G147256_P03	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FR39]	_	
GRMZM2G147268_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FZ62]	_	
GRMZM2G147268_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FZ62]	_	
GRMZM2G147268_P03	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FZ62]	_	
GRMZM2G147268_P04	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4FZ62]	_	
GRMZM2G171116_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:K7W2S3]	_	
GRMZM2G404237_P01	Malic enzyme  [Source:UniProtKB/TrEMBL%3BAcc:K7V3S0]	_	
GRMZM2G404237_P02	Malic enzyme  [Source:UniProtKB/TrEMBL%3BAcc:K7V3S0]	_	
GRMZM2G437487_P01	Serine hydroxymethyltransferase  [Source:UniProtKB/TrEMBL%3BAcc:K7VUB7]	_	
GRMZM2G452630_P01	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4F947]	_	
GRMZM2G452630_P02	Uncharacterized protein  [Source:UniProtKB/TrEMBL%3BAcc:B4F947]	M	
GRMZM2G461332_P01	Unknown protein	_	
GRMZM2G701288_P01	Unknown protein	M	
GRMZM2G701288_P02	Unknown protein	M	
GRMZM5G871471_P01	Unknown protein	M	
GRMZM5G871471_P02	Unknown protein	C	
GRMZM5G886257_P01	Malic enzyme  [Source:UniProtKB/TrEMBL%3BAcc:B6TVG1]	_	
